"","section","title","loc","institution","start","end","description_bullets","in_resume","start_year","end_year","no_start","has_start","no_end","has_end","timeline"
"1","education","MSc. Statistics and Operations Research","Universitat Politècnica de Catalunya","Barcelona, Spain","12/07/2013","12/07/2015","- Focused on Operations Reasearch
- R, SQL, AMPL,lm","TRUE","2013","2015",FALSE,TRUE,FALSE,TRUE,"12/07/2015 - 12/07/2013"
"2","education","B.S., Industrial Enginner","Universidad Icesi","Cali, Colombia","12/07/2007","12/07/2012","- Excel, PowerPoint, AMPL, lm","TRUE","2007","2012",FALSE,TRUE,FALSE,TRUE,"12/07/2012 - 12/07/2007"
